x,y,z,w
0.1357157,-0.01841437,-0.1974456,0.9706995
0.1355739,-0.01681053,-0.1977587,0.9706846
0.1354223,-0.01525318,-0.1980779,0.9706665
0.1352559,-0.01371293,-0.19841,0.9706448
0.1350902,-0.01222019,-0.1987465,0.970619
0.1349184,-0.01072474,-0.1991148,0.970585
0.1347557,-0.009235103,-0.19941,0.9705623
0.1346718,-0.007816207,-0.1997004,0.9705268
0.1346358,-0.006417133,-0.2000756,0.9704648
0.1346634,-0.005115425,-0.2003189,0.9704185
0.1347115,-0.003824478,-0.2006458,0.9703501
0.1348003,-0.002637046,-0.2009614,0.9702765
0.1349289,-0.001521443,-0.2012313,0.970205
0.1350686,-0.0004527684,-0.2015063,0.9701296
0.135207,0.0005866134,-0.2018108,0.9700469
0.1354095,0.001630524,-0.2020649,0.9699646
0.135596,0.002607282,-0.2023714,0.9698724
0.1357798,0.003567741,-0.2027485,0.969765
0.136008,0.004473328,-0.2030944,0.9696568
0.1362683,0.005365189,-0.2034882,0.9695331
0.1365533,0.006261249,-0.2038336,0.9694152
0.1368517,0.007106629,-0.2041422,0.9693024
0.1371351,0.007993433,-0.2044018,0.9692007
0.137419,0.008889874,-0.2046064,0.9691094
0.1377283,0.009821315,-0.2047973,0.9690162
0.1380725,0.010779,-0.2049797,0.9689185
0.1384356,0.01178198,-0.2051616,0.9688165
0.138816,0.01283025,-0.2053605,0.9687066
0.1392048,0.01392914,-0.2055402,0.9685975
0.139597,0.01500086,-0.2057187,0.9684872
0.1400146,0.01607445,-0.2059533,0.9683598
0.1404767,0.0172129,-0.2062145,0.9682177
0.1409623,0.01838499,-0.2065339,0.9680575
0.1414784,0.01958629,-0.2068843,0.9678839
0.1420111,0.02083575,-0.2072385,0.967704
0.1425284,0.02209042,-0.2075775,0.9675274
0.1430389,0.02335767,-0.207951,0.9673421
0.1435524,0.02465781,-0.2082365,0.9671723
0.144055,0.02592116,-0.2085335,0.9670005
0.1445888,0.02725525,-0.2088149,0.9668235
0.1451408,0.02855079,-0.2091299,0.9666353
0.1457104,0.02989723,-0.2094899,0.9664308
0.146302,0.03133853,-0.209893,0.9662083
0.1469008,0.03283513,-0.2102714,0.9659855
0.1474662,0.03431546,-0.2106429,0.9657669
0.1479985,0.03578268,-0.2109455,0.9655662
0.1484998,0.03729365,-0.2111986,0.9653767
0.1489902,0.03878857,-0.211401,0.9651979
0.1494857,0.04021394,-0.2115504,0.9650302
0.149983,0.04172513,-0.2117649,0.9648418
0.150465,0.04318361,-0.2119023,0.9646724
0.1508866,0.0445891,-0.2121054,0.964498
0.1512797,0.04610437,-0.2123376,0.964314
0.1515795,0.04764149,-0.2125751,0.9641399
